№,Код АТЕ,Код ОО,Наименование образовательной организации согласно Уставу образовательной организации ,Сокращенное наименование образовательной организации согласно Уставу образовательной организации  ,
1420,249,249033,государственное бюджетное общеобразовательное учреждение Саратовской области «Средняя общеобразовательная школа п.Алексеевка Хвалынского района имени В.М. Пашина»,ГБОУ СО «СОШ п.Алексеевка Хвалынского района имени В.М. Пашина»,
1421,249,249014,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа-интернат для обучающихся по адаптированным образовательным программам № 3 г.Саратова»,"ГБОУ СО «Школа-интернат АОП
№ 3 г.Саратова»",
1422,249,249024,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа-интернат для обучающихся по адаптированным образовательным программам № 4 г.Саратова»,"ГБОУ СО «Школа-интернат АОП
№ 4 г.Саратова»",
1423,249,249044,государственное автономное общеобразовательное учреждение Саратовской области «Центр образования «Родник знаний»,ГАОУ СО «Центр образования «Родник знаний»,
1424,249,249054,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа-интернат для обучающихся по адаптированным образовательным программам № 3 г.Энгельса»,"ГБОУ СО «Школа-интернат АОП
№ 3 г.Энгельса»",
1425,249,249064,государственное автономное общеобразовательное учреждение Саратовской области «Школа «Уникум»,ГАОУ СО «Школа «Уникум»,
1426,249,249025,"Государственное бюджетное учреждение Саратовской области дополнительного образования «Областной центр экологии, краеведения и туризма» ",ГБУ СОДО «ОЦЭКИТ» ,
1427,249,249055,"государственное бюджетное учреждение Саратовской области «Центр психолого-педагогического и медико-социального сопровождения детей»
г. Балаково","ГБУ СО «Центр ППМС»
г. Балаково",
1428,249,249075,"государственное бюджетное учреждение Саратовской области «Центр психолого-педагогического и медико-социального сопровождения детей» 
г. Красноармейска","ГБУ СО «Центр ППМСД»
г. Красноармейска",
1429,249,249036,"Центр довузовского образования «Медицинский предуниверсарий» 
ФГБОУ ВО «Саратовский ГМУ им. В.И. Разумовского» Минздрава России",Медицинский предуниверсарий СГМУ им. В.И. Разумовского,
1430,249,249046,Государственное автономное общеобразовательное учреждение Саратовской области «Лицей-интернат 64» ,ГАОУ СО «Лицей-интернат 64»,
1431,249,249018,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа-интернат для обучающихся по адаптированным образовательным программам п.Алексеевка Хвалынского района»,ГБОУ СО «Школа-интернат АОП п.Алексеевка Хвалынского района»,
1432,249,249028,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа-интернат для обучающихся по адаптированным образовательным программам г.Балаково»,ГБОУ СО «Школа-интернат АОП г.Балаково»,
1433,249,249038,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа-интернат для обучающихся по адаптированным образовательным программам р.п.Базарный Карабулак»,ГБОУ СО «Школа-интернат для обучающихся по АОП р.п.Базарный Карабулак»,
1434,249,249058,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа-интернат для обучающихся по адаптированным образовательным программам г.Маркса»,ГБОУ СО «Школа-интернат АОП г.Маркса»,
1435,249,249068,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа-интернат для обучающихся по адаптированным образовательным программам с.Приволжское Ровенского района»,ГБОУ СО «Школа-интернат АОП с.Приволжское Ровенского района»,
1436,249,249088,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа-интернат для обучающихся по адаптированным образовательным программам № 5 г.Саратова»,ГБОУ СО «Школа-интернат № 5 АОП г.Саратова»,
1437,249,249108,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа-интернат для обучающихся по адаптированным образовательным программам с.Широкий Буерак Вольского района»,ГБОУ СО «Школа-интернат АОП с.Широкий Буерак»,
1438,249,249118,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа-интернат для обучающихся по адаптированным образовательным программам № 2 г.Энгельса»,"ГБОУ СО «Школа-интернат АОП
№ 2 г.Энгельса»",
1439,249,249128,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа для обучающихся по адаптированным образовательным программам № 11 г.Балашова»,ГБОУ СО «Школа АОП № 11 г.Балашова»,
1440,249,249138,"государственное бюджетное общеобразовательное учреждение Саратовской области «Центр образования и психолого-педагогического, медико-социального сопровождения детей"" г.Саратова","ГБОУ СО ""Центр образования"" г.Саратова",
1441,249,249148,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа для обучающихся по адаптированным образовательным программам № 2 г.Саратова»,ГБОУ СО «Школа АОП № 2 г.Саратова»,
1442,249,249158,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа для обучающихся по адаптированным образовательным программам № 4 г.Саратова»,ГБОУ СО «Школа АОП № 4 г.Саратова»,
1443,249,249168,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа для обучающихся по адаптированным образовательным программам № 6 г.Саратова»,ГБОУ СО «Школа АОП № 6 г.Саратова»,
1444,249,249178,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа для обучающихся по адаптированным образовательным программам № 14 г. Вольска»,ГБОУ СО «Школа АОП № 14 г.Вольска»,
1445,249,249188,государственное бюджетное общеобразовательное учреждение Саратовской области «Школа для обучающихся по адаптированным образовательным программам № 17 г.Энгельса»,ГБОУ СО «Школа АОП № 17 г.Энгельса»,
1446,250,250022,государственное бюджетное профессиональное образовательное учреждение Саратовской области «Ивантеевский политехнический лицей»,ГБПОУ СО  «ИПЛ»,
1447,250,250052,государственное бюджетное профессиональное образовательное учреждение Саратовской области «Балашовский политехнический лицей»,ГБПОУ СО «БПЛ»,
1448,250,250072,государственное бюджетное профессиональное образовательное учреждение Саратовской области «Дергачевский агропромышленный лицей»,ГБПОУ СО «ДАЛ»,
1449,250,250082,государственное бюджетное профессиональное образовательное учреждение Саратовской области «Краснокутский политехнический лицей»,ГБПОУ СО «КПЛ»,
1450,250,250102,государственное автономное профессиональное образовательное учреждение Саратовской области «Озинский техникум строительных технологий и сервиса»,ГАПОУ СО «ОТСТиС»,
1451,250,250112,государственное бюджетное профессиональное образовательное учреждение Саратовской области «Александрово-Гайский политехнический лицей»,ГБПОУ «АГПЛ»,
1452,250,250122,государственное автономное профессиональное образовательное учреждение Саратовской области «Петровский аграрно-технологический техникум»,ГАПОУ СО «ПАТТ»,
1453,250,250132,государственное автономное профессиональное образовательное учреждение Саратовской области «Пугачевский аграрно-технологический техникум»,ГАПОУ СО «ПАТТ»,
1454,250,250142,государственное бюджетное профессиональное образовательное учреждение Саратовской области «Краснопартизанский политехнический лицей»,ГБПОУ СО «КПЛ»,
1455,250,250152,государственное бюджетное профессиональное образовательное учреждение Саратовской области «Ершовский агропромышленный лицей»,ГБПОУ СО «ЕАЛ»,
1456,250,250162,государственное автономное профессиональное образовательное учреждение Саратовской области «Хвалынский агропромышленный колледж»,ГАПОУ СО «ХАК»,
1457,250,250172,государственное бюджетное профессиональное образовательное учреждение Саратовской области «Питерский агропромышленный лицей»,ГБПОУ СО «ПАЛ»,
1458,250,250182,государственное бюджетное профессиональное образовательное учреждение Саратовской области «Ртищевский политехнический лицей»,ГБПОУ СО «РПЛ»,
1459,250,250023,государственное автономное профессиональное образовательное учреждение Саратовской области «Саратовский колледж строительства мостов и гидротехнических сооружений»,ГАПОУ СО «СКСМГС»,
1460,250,250033,государственное автономное профессиональное образовательное учреждение Саратовской области «Саратовский архитектурно-строительный колледж»,ГАПОУ СО «САСК»,
1461,250,250043,государственное автономное профессиональное образовательное учреждение Саратовской области «Энгельсский колледж профессиональных технологий»,ГАПОУ СО «ЭКПТ»,
1462,250,250053,государственное автономное профессиональное образовательное учреждение Саратовской области «Вольский технологический колледж»,ГАПОУ СО «ВТК»,
1463,250,250063,государственное автономное профессиональное образовательное учреждение Саратовской области «Саратовский областной педагогический колледж»,ГАПОУ СО «СОПК»,
1464,250,250073,государственное автономное профессиональное образовательное учреждение Саратовской области «Саратовский колледж кулинарного искусства»,ГАПОУ СО СККИ,
1465,250,250083,"государственное автономное профессиональное образовательное учреждение Саратовской области «Вольский педагогический колледж 
им. Ф.И. Панферова»","ГАПОУ СО «ВПК 
им. Ф.И. Панферова»",
1466,250,250093,государственное автономное профессиональное образовательное учреждение Саратовской области «Поволжский колледж технологий и менеджмента»,ГАПОУ СО «ПКТиМ»,
1467,250,250103,государственное автономное профессиональное образовательное учреждение Саратовской области «Марксовский политехнический колледж»,ГАПОУ СО «МПК»,
1468,250,250113,государственное автономное профессиональное образовательное учреждение Саратовской области «Энгельсский промышленно-экономический колледж»,ГАПОУ СО «ЭПЭК»,
1469,250,250123,государственное автономное профессиональное образовательное учреждение Саратовской области «Аткарский политехнический колледж»,ГАПОУ СО «АПК»,
1470,250,250133,"государственное автономное профессиональное образовательное учреждение Саратовской области «Саратовский колледж водного транспорта, строительства и сервиса»",ГАПОУ СО «СКВТСиС»,
1471,250,250143,государственное автономное профессиональное образовательное учреждение Саратовской области «Саратовский политехнический колледж»,ГАПОУ СО «Саратовский политехнический колледж»,
1472,250,250153,государственное автономное профессиональное образовательное учреждение Саратовской области «Вольский медицинский колледж им.З.И.Маресевой»,ГАПОУ СО «ВМК им.З.И.Маресевой»,
1473,250,250163,государственное автономное профессиональное образовательное учреждение Саратовской области «Энгельсский медицинский колледж Святого Луки (Войно-Ясенецкого)»,ГАПОУ СО «Энгельсский медицинский колледж Св. Луки (Войно-Ясенецкого)» ,
1474,250,250173,государственное автономное профессиональное образовательное учреждение Саратовской области «Балаковский медицинский колледж»,ГАПОУ СО «БМК»,
1475,250,250183,государственное профессиональное образовательное учреждение  «Саратовский областной колледж искусств»,ГПОУ «СОКИ»,
1476,250,250193,Государственное автономное профессиональное образовательное учреждение Саратовской области «Саратовский областной базовый медицинский колледж»,ГАПОУ СО «СОБМК»,
1477,250,250034,государственное автономное профессиональное образовательное учреждение Саратовской области «Новоузенский агротехнологический техникум»,ГАПОУ СО «Новоузенский агротехнологический техникум»,
1478,250,250044,"государственное автономное профессиональное образовательное учреждение Саратовской области «Сельскохозяйственный техникум 
им. К.А. Тимирязева»","ГАПОУ СО «СТ 
им. К.А. Тимирязева»",
1479,250,250064,государственное автономное профессиональное образовательное учреждение Саратовской области «Базарнокарабулакский техникум агробизнеса»,ГАПОУ СО «БТА»,
1480,250,250074,государственное автономное профессиональное образовательное учреждение Саратовской области «Балаковский промышленно-транспортный техникум им. Н.В. Грибанова»,"ГАПОУ СО «БПТТ  
им. Н.В. Грибанова»",
1481,250,250084,государственное автономное профессиональное образовательное учреждение Саратовской области «Балаковский политехнический техникум»,ГАПОУ СО «БПТ»,
1482,250,250094,государственное автономное профессиональное образовательное учреждение Саратовской области «Балашовский техникум механизации сельского хозяйства»,ГАПОУ СО «БТМСХ»,
1483,250,250104,государственное автономное профессиональное образовательное учреждение Саратовской области «Саратовский областной химико-технологический техникум»,ГАПОУ СО «СОХТТ»,
1484,250,250114,государственное автономное профессиональное образовательное учреждение Саратовской области «Саратовский техникум промышленных технологий и автомобильного сервиса»,ГАПОУ СО «СТПТиАС»,
1485,250,250124,государственное автономное профессиональное образовательное учреждение Саратовской области «Энгельсский механико-технологический техникум»,ГАПОУ СО «ЭМТТ»,
1486,250,250144,государственное автономное профессиональное образовательное учреждение  Саратовской области «Энгельсский политехникум»,ГАПОУ СО «Энгельсский политехникум»,
1487,250,250154,государственное автономное профессиональное образовательное учреждение Саратовской области «Губернаторский колледж»,ГАПОУ СО «ГК»,
1488,250,250164,государственное автономное профессиональное образовательное учреждение Саратовской области «Перелюбский аграрный техникум»,ГАПОУ СО «ПАТ»,
1489,250,250184,государственное автономное профессиональное образовательное учреждение Саратовской области «Саратовский техникум отраслевых технологий»,ГАПОУ СО «СТОТ»,
1490,250,250194,государственное автономное профессиональное образовательное учреждение Саратовской области «Калининский техникум агробизнеса»,ГАПОУ СО «КТА»,
1491,250,250204,государственное бюджетное профессиональное образовательное учреждение «Саратовское областное училище (техникум) олимпийского резерва»,ГБПОУ «СОУОР»,
1492,250,250214,государственное профессиональное образовательное учреждение «Саратовское художественное училище имени А.П. Боголюбова (техникум)»,"ГПОУ «СХУ имени 
А.П. Боголюбова (техникум)»",
1493,250,250234,филиал федерального государственного бюджетного образовательного учреждения высшего образования «Самарский государственный университет путей сообщения» в г. Саратове,филиал СамГУПС в г. Саратове,
1494,250,250244,филиал федерального государственного бюджетного образовательного учреждения высшего образования «Самарский государственный университет путей сообщения» в г. Ртищево,филиал СамГУПС в г. Ртищево,
1495,250,250017,Юридический колледж федерального государственного бюджетного образовательного учреждения высшего образования «Саратовская государственная юридическая академия»,Юридический колледж ФГБОУ ВО «СГЮА»,
1496,250,250027,"Финансово-технологический колледж федерального государственного бюджетного образовательного учреждения высшего профессионального образования «Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова»",Финансово – технологический колледж ФГБОУ ВО Вавиловский университет,
1497,250,250087,Медицинский колледж Саратовского государственного медицинского университета им. В.И. Разумовского,Медицинский колледж СГМУ,
1498,250,250097,Автономная некоммерческая профессиональная образовательная организация «Институт Развития Бизнеса и Стратегий»,АНПОО «ИРБиС»,
1499,250,250107,Красноармейский автомобилестроительный колледж - филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»,Красноармейский автомобилестроительный колледж - филиал РАНХиГС,
1500,250,250009,Краснокутское летное училище гражданской авиации - филиал федерального государственного бюджетного образовательного учреждения высшего образования «Ульяновский институт гражданской авиации имени Главного маршала авиации Б.П.Бугаева»,ККЛУ ГА - филиал ФГБОУ ВО УИ ГА,
1501,251,251015,Государственное автономное общеобразовательное учреждение Саратовской области «Гимназия № 8» ,ГАОУ СО «Гимназия № 8»,
1502,251,251025,Государственное автономное общеобразовательное учреждение Саратовской области «Гимназия №1»,ГАОУ СО  «Гимназия № 1»,
1503,251,251016,Государственное автономное общеобразовательное учреждение Саратовской области «Музыкально-эстетический лицей имени Альфреда Гарриевича Шнитке» ,ГАОУ СО «МЭЛ им. А.Г. Шнитке»,
1504,251,251026,Государственное автономное общеобразовательное учреждение Саратовской области «Лицей гуманитарных наук»,ГАОУ СО «Лицей гуманитарных наук»,
1505,251,251036,Государственное автономное общеобразовательное учреждение Саратовской области «Физико-технический лицей № 1»,"ГАОУ СО «Физико-технический лицей № 1», ГАОУ СО «ФТЛ № 1»",
1506,251,251046,Государственное автономное общеобразовательное учреждение Саратовской области «Инженерный лицей» ,ГАОУ СО «Инженерный лицей»,
1507,251,251056,Государственное автономное общеобразовательное учреждение Саратовской области «Средняя общеобразовательная школа № 2 с углубленным изучением отдельных предметов им. В.П. Тихонова» ,ГАОУ СО «СОШ № 2 УИП им. В.П. Тихонова»,
1508,252,252010,Общество с ограниченной ответственностью «Аристотель»,ООО «Аристотель»,
1509,252,252011,Частное дошкольное образовательное учреждение «Детский сад «Светлячок» ,ЧДОУ «Детский сад «Светлячок»,
1510,252,252020,Общество с ограниченной ответственностью «Центр психолого-педагогического сопровождения и медицинской реабилитации детей с особенностями развития «Ларчик»,ООО «Центр Ларчик»,
1511,252,252041,частное дошкольное образовательное учреждение «Детский сад № 111 открытого акционерного общества «Российские железные дороги»,Детский сад № 111 ОАО «РЖД»,
1512,252,252081,Частное дошкольное образовательное учреждение «Детский сад «КОРАБЛИК»,ЧДОУ «Детский сад «КОРАБЛИК»,
1513,252,252802,Частное общеобразовательное учреждение «прогимназия «Д.А.Р.»,ЧОУ «прогимназия «Д.А.Р.»,
1514,252,252812,Частное общеобразовательное учреждение «Прогимназия «Идеал»,ЧОУ «Прогимназия «Идеал»,
1515,252,252013,Частное общеобразовательное учреждение «Средняя общеобразовательная школа с этнокультурным еврейским компонентом образования»,ЧОУ «СОШ ЭЕКО»,
1516,252,252015,Автономная некоммерческая общеобразовательная организация «Гимназия гуманитарных наук»,АНОО «Гимназия гуманитарных наук»,
1517,252,252035,Частное общеобразовательное учреждение Саратовской Епархии Русской Православной Церкви (Московский Патриархат) «Покровская православная классическая гимназия г. Саратова имени Святого благоверного князя Александра Невского»,"ЧОУ «Православная гимназия 
г. Саратова»",
1518,252,252045,Частное общеобразовательное учреждение «Православная гимназия во имя апостола и евангелиста Иоанна Богослова»,ЧОУ «Иоанно - Богословская православная гимназия»,
1519,252,252106,частное общеобразовательное учреждение «РЖД лицей №2»,РЖД лицей № 2,
1520,252,252126,Частное общеобразовательное учреждение «Лицей-интернат естественных наук»,ЧОУ «Лицей-интернат естественных наук», ЧОУ ЛИЕН
1521,252,252136,Частное общеобразовательное учреждение «Покровский гуманитарный лицей - детский сад»,ЧОУ «Покровский гуманитарный лицей - детский сад»,
1522,252,252019,Мусульманская религиозная организация – духовная профессиональная образовательная организация «Медресе «Шейх Саид» Централизованной религиозной организации «Духовного управления мусульман Саратовской области»,Медресе «Шейх Саид» ДУМСО,
1523,252,252029,Частное профессиональное образовательное учреждение «Балашовский кооперативный техникум бизнеса и технологий»,ЧПОУ «Балашовский кооперативный техникум»,
1524,252,252039,Частное профессиональное образовательное учреждение «Межрегиональный многопрофильный колледж»,ЧПОУ «ММК»,
1525,253,253013,федеральное государственное казенное общеобразовательное учреждение «Средняя общеобразовательная школа № 24»,ФГКОУ «СОШ № 24»,
1526,253,253023,федеральное государственное казенное общеобразовательное учреждение  «Средняя общеобразовательная школа № 152»,ФГКОУ «СОШ № 152»,
1527,253,253018,федеральное казённое общеобразовательное учреждение «Вечерняя (сменная) общеобразовательная школа Управления Федеральной службы исполнения наказания по Саратовской области»,ФКОУ В(С)ОШ УФСИН России по Саратовской области,
1528,254,254011,федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский государственный медицинский университет имени В.И. Разумовского» Министерства здравоохранения Российской Федерации,"ФГБОУ ВО Саратовский ГМУ 
им. В.И. Разумовского Минздрава России",
1529,254,254021,Поволжский институт им. П.А. Столыпина – филиал федерального государственного бюджетного образовательного учреждения высшего профессионального образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»,Поволжский институт управления – филиал РАНХиГС,
1530,254,254031,Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовская государственная консерватория (академия) имени Л.В.Собинова»,СГК им. Л.В.Собинова,
1531,254,254061,"Поволжский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» 
в г. Саратове",Поволжский институт (филиал) ВГУЮ (РПА Минюста России),
1532,254,254101,федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовская государственная юридическая академия»,ФГБОУ ВО «СГЮА»,
1533,254,254111,Балаковский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Саратовская государственная юридическая академия»,Балаковский филиал ФГБОУ ВО «СГЮА»,
1534,254,254201,"федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова»",ФГБОУ ВО Вавиловский университет,
1535,254,254301,федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского»,"Саратовский университет; СГУ; ФГБОУ ВО «СГУ имени 
Н.Г. Чернышевского»",
1536,254,254311,Балашовский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского»,БИ СГУ,
1537,254,254401,федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский государственный технический университет имени Гагарина Ю.А.»,СГТУ имени Гагарина Ю.А.,
1538,254,254421,филиал федерального государственного бюджетного образовательного учреждения высшего образования «Саратовский государственный технический университет им. Гагарина Ю.А.»  в г. Петровске,"филиал СГТУ имени 
Гагарина Ю.А. в г. Петровске",
1539,254,254431,Энгельсский технологический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Саратовский государственный технический университет имени Гагарина Ю.А.»,ЭТИ (филиал) СГТУ имени Гагарина Ю.А.,
1540,254,254032,Поволжский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации «Российский университет кооперации»,Поволжский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации «Российский университет кооперации»,
1541,254,254013,федеральное государственное казенное военное образовательное учреждение высшего образования «Саратовский военный Краснознаменный институт войск национальной гвардии Российской Федерации»,Саратовский военный Краснознаменный институт войск национальной гвардии, СВКИ войск национальной гвардии
1542,254,254023,Филиал федерального государственного казенного военного образовательного учреждения высшего образования «Военная академия материально-технического обеспечения имени генерала армии А.В.Хрулева» Министерства обороны Российской Федерации в г. Вольске,Филиал ВА МТО в г. Вольске ,
1543,254,254014,Религиозная организация – духовная образовательная организация высшего  образования «Саратовская православная духовная семинария Саратовской Епархии Русской Православной Церкви»,Религиозная организация – духовная образовательная организация высшего  образования «Саратовская православная духовная семинария Саратовской Епархии Русской Православной Церкви» ,
1544,255,255001,государственное автономное профессиональное образовательное учреждение Саратовской области «Саратовский комплекс-интернат профессионального обучения для инвалидов и лиц с ограниченными возможностями здоровья»,ГАПОУ СО «СКИПО для инвалидов и лиц с ОВЗ»,
1545,255,255006,государственное бюджетное учреждение Саратовской области «Балаковский центр социальной помощи семье и детям «Семья»,ГБУ СО «Балаковский центр социальной помощи семье и детям «Семья»,
1546,255,255007,государственное бюджетное учреждение Саратовской области  «Балашовский центр социальной помощи семье и детям «Семья»,ГБУ СО «Балашовский центр «Семья»,
1547,255,255008,государственное бюджетное учреждение Саратовской области  «Красноармейский центр социальной помощи семье и детям «Семья»,ГБУ СО «Красноармейский центр социальной помощи семье и детям «Семья»,
